                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.57347,                0.48078,                 1.1547,                0.84841,                   0.68,                0.78305,                0.66121,                 1.0482,                 1.0729,                 1.7673,              0.0013268,              0.0013268,              0.0013268
                     36,                0.54269,                0.45843,                 1.1255,                0.79342,                0.89333,                0.89134,                0.69247,                0.98827,                0.88928,                 1.7593,               0.001307,               0.001307,               0.001307
                     37,                0.55063,                0.48375,                 1.1403,                0.87926,                0.89333,                0.90925,                 0.7037,                 1.0955,                0.73479,                 1.8346,              0.0012872,              0.0012872,              0.0012872
                     38,                0.54792,                 0.4602,                 1.1461,                0.77558,                0.78667,                0.86104,                0.70375,                0.97114,                0.97992,                 1.6422,              0.0012674,              0.0012674,              0.0012674
                     39,                0.53571,                0.44722,                 1.1291,                0.91827,                0.62667,                0.81232,                0.62078,                 1.3112,                 0.8891,                 1.9909,              0.0012476,              0.0012476,              0.0012476
                     40,                0.54689,                   0.46,                 1.1399,                0.90585,                0.66667,                0.81754,                0.68775,                 1.1454,                 0.7672,                 1.9163,              0.0012278,              0.0012278,              0.0012278
                     41,                0.52624,                0.43748,                 1.1193,                0.92603,                   0.84,                0.92307,                0.77589,                0.99578,                0.60199,                 1.7243,               0.001208,               0.001208,               0.001208
                     42,                0.52438,                0.40371,                 1.1239,                0.99229,                0.77333,                0.91147,                0.70756,                 1.1356,                0.75511,                 1.9316,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.5039,                0.41587,                 1.1147,                0.83648,                0.88673,                0.91767,                0.75789,                0.98924,                0.72946,                 1.7417,              0.0011684,              0.0011684,              0.0011684
                     44,                0.48412,                0.41887,                 1.0877,                0.93611,                0.78148,                 0.8927,                0.72356,                 1.0631,                0.97954,                 1.7312,              0.0011486,              0.0011486,              0.0011486
                     45,                0.48676,                0.40561,                 1.0976,                0.82645,                0.77333,                0.87778,                0.70512,                  1.007,                0.92724,                 1.7391,              0.0011288,              0.0011288,              0.0011288
                     46,                0.47953,                0.41992,                 1.0808,                0.88019,                0.88157,                0.91951,                0.62739,                 1.4142,                0.86856,                 2.2824,               0.001109,               0.001109,               0.001109
                     47,                0.49167,                0.42683,                  1.094,                0.87982,                0.78095,                0.88679,                0.73039,                  1.018,                 1.0417,                 1.7496,              0.0010892,              0.0010892,              0.0010892
                     48,                0.48449,                0.43169,                 1.0846,                0.85937,                0.73327,                0.81086,                0.66963,                  1.038,                 1.1353,                 1.7658,              0.0010694,              0.0010694,              0.0010694
