                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89466,                 1.4824,                 1.4066,                0.68255,                0.73333,                 0.7676,                0.46872,                 1.3518,                 2.1754,                 2.5445,              0.0006633,              0.0006633,              0.0006633
                      2,                0.94683,                 1.1143,                 1.4246,                0.82135,                0.79695,                0.86892,                0.65112,                 0.9927,                 1.4919,                  1.897,              0.0013168,              0.0013168,              0.0013168
                      3,                0.95554,                0.99672,                 1.4363,                0.89311,                0.93333,                0.91644,                0.66893,                 1.0784,                0.98135,                 1.8194,              0.0019571,              0.0019571,              0.0019571
                      4,                 0.9195,                0.88218,                  1.405,                0.84202,                   0.88,                0.88938,                0.66602,                 1.0904,                 1.0663,                 1.8808,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.8646,                0.75382,                  1.349,                 0.7375,                   0.88,                0.84459,                  0.651,                 1.0085,                 1.0523,                   1.72,              0.0019208,              0.0019208,              0.0019208
                      6,                0.83689,                0.70278,                 1.3179,                0.92651,                0.77333,                0.87491,                0.62174,                 1.1377,                 0.9723,                 1.9608,               0.001901,               0.001901,               0.001901
                      7,                0.81624,                0.70328,                 1.3102,                0.98991,                   0.88,                0.96016,                0.76541,                0.82924,                 0.5363,                 1.5089,              0.0018812,              0.0018812,              0.0018812
                      8,                0.77589,                0.62094,                 1.2819,                 0.8512,                0.94667,                0.90967,                0.66936,                 1.1575,                0.64672,                   1.97,              0.0018614,              0.0018614,              0.0018614
                      9,                0.75182,                0.58826,                 1.2719,                0.84359,                0.93486,                0.94173,                0.68036,                  1.071,                 0.6413,                  1.781,              0.0018416,              0.0018416,              0.0018416
                     10,                0.77899,                0.58871,                 1.2776,                 0.9309,                0.93333,                0.91621,                0.67417,                 1.1405,                0.62263,                 1.9905,              0.0018218,              0.0018218,              0.0018218
